1609459200000,28923.63000000,28961.66000000,28913.12000000,28961.66000000,27.45703200,1609459259999,794382.04398665,1292,16.77719500,485390.82682460,0
1609459260000,28961.67000000,29017.50000000,28961.01000000,29009.91000000,58.47750100,1609459319999,1695802.89696884,1651,33.73381800,978176.46820208,0
1609459320000,29009.54000000,29016.71000000,28973.58000000,28989.30000000,42.47032900,1609459379999,1231358.69059884,986,13.24744400,384076.85445305,0
1609459380000,28989.68000000,28999.85000000,28972.33000000,28982.69000000,30.36067700,1609459439999,880016.76348383,959,9.45602800,274083.07514154,0
1609459440000,28982.67000000,28995.93000000,28971.80000000,28975.65000000,24.12433900,1609459499999,699226.20560386,726,6.81464400,197519.37488805,0
1609459500000,28975.65000000,28979.53000000,28933.16000000,28937.11000000,22.39601400,1609459559999,648322.74991398,952,9.12755000,264217.90316032,0
1609459560000,28937.11000000,28963.25000000,28937.10000000,28943.87000000,20.48029400,1609459619999,592926.32742162,750,5.44417200,157609.40219333,0
1609459620000,28943.88000000,28954.48000000,28930.00000000,28934.84000000,20.96234300,1609459679999,606581.10000801,782,13.15473700,380651.24344972,0
1609459680000,28934.84000000,28936.15000000,28889.24000000,28900.00000000,52.64547800,1609459739999,1521739.15703704,886,28.44000800,821806.17010415,0
1609459740000,28900.00000000,28920.06000000,28846.28000000,28858.94000000,98.08397500,1609459799999,2831962.32714100,1558,57.59486400,1662928.40151972,0
1609459800000,28858.94000000,28883.20000000,28848.06000000,28848.68000000,42.66590000,1609459859999,1231421.33316181,825,15.51099000,447737.42241313,0
1609459860000,28848.69000000,28862.12000000,28782.88000000,28824.35000000,96.60037600,1609459919999,2783335.61696060,1962,53.02759800,1527953.89072143,0
1609459920000,28824.36000000,28858.28000000,28818.75000000,28838.68000000,42.54096300,1609459979999,1226967.15042870,1052,18.72829900,540109.31628826,0
1609459980000,28838.69000000,28839.08000000,28706.16000000,28706.64000000,104.22505400,1609460039999,2998587.90201096,2635,32.11942600,924321.77691318,0
1609460040000,28716.85000000,28764.23000000,28690.17000000,28752.80000000,156.58729400,1609460099999,4497094.23053893,2302,80.52745100,2313472.93373888,0
1609460100000,28752.80000000,28775.99000000,28720.91000000,28769.77000000,45.69538500,1609460159999,1313660.85200945,1294,27.49944300,790664.01163270,0
1609460160000,28769.77000000,28819.14000000,28769.76000000,28810.00000000,28.32897400,1609460219999,815831.67499619,1090,19.49420900,561396.88565840,0
1609460220000,28812.34000000,28816.34000000,28783.13000000,28800.57000000,34.03551400,1609460279999,980304.70826501,1070,13.76159800,396387.49784464,0
1609460280000,28800.58000000,28830.79000000,28800.58000000,28823.21000000,31.42050000,1609460339999,905375.44743039,769,16.22229500,467423.16530091,0
1609460340000,28823.21000000,28852.48000000,28820.72000000,28820.72000000,35.35940600,1609460399999,1019697.90874591,985,14.56505100,420064.18015049,0
1609460400000,28822.17000000,28822.17000000,28751.58000000,28759.35000000,35.79910400,1609460459999,1030564.76342587,1263,12.12594600,349060.39921308,0
1609460460000,28757.97000000,28796.23000000,28744.09000000,28796.23000000,44.56143300,1609460519999,1281970.76051782,963,23.80943400,685107.21763450,0
1609460520000,28796.23000000,28802.19000000,28780.11000000,28796.29000000,18.57368300,1609460579999,534762.43546010,629,8.61746700,248101.30083395,0
1609460580000,28796.56000000,28835.44000000,28796.56000000,28835.01000000,38.59543400,1609460639999,1111951.69686160,1062,21.81161000,628393.52433544,0
1609460640000,28835.01000000,28846.46000000,28822.03000000,28846.46000000,23.78713000,1609460699999,685896.79105294,713,11.74726500,338743.50459819,0
1609460700000,28844.88000000,28871.28000000,28841.66000000,28871.28000000,37.06949500,1609460759999,1069793.72475238,851,22.33976700,644738.35934412,0
1609460760000,28871.28000000,28875.55000000,28822.01000000,28844.48000000,50.01623400,1609460819999,1442970.59679045,1094,12.38502500,357226.26776928,0
1609460820000,28844.48000000,28844.48000000,28823.49000000,28839.57000000,31.83008900,1609460879999,917795.98869301,702,19.34811400,557856.48003566,0
1609460880000,28839.58000000,28844.10000000,28828.92000000,28833.96000000,10.93021400,1609460939999,315191.63646908,557,4.89182400,141063.08001579,0
1609460940000,28833.73000000,28838.54000000,28822.00000000,28836.63000000,14.60858400,1609460999999,421184.26716416,834,7.34893000,211891.04503339,0
1609461000000,28836.63000000,28875.75000000,28836.62000000,28875.75000000,50.43867400,1609461059999,1455353.88046393,853,41.79465100,1205950.40617928,0
1609461060000,28876.31000000,28890.00000000,28858.53000000,28858.53000000,26.83377900,1609461119999,774923.29621871,946,11.12780800,321340.44659360,0
1609461120000,28858.53000000,28874.35000000,28857.95000000,28871.97000000,19.69371600,1609461179999,568464.64686787,628,12.55794100,362478.42420637,0
